STATUS | wrapper  | 2002/11/14 11:43:52 | Launching a JVM...
INFO   | jvm 1    | 2002/11/14 11:43:52 | java.lang.NoClassDefFoundError: nie/sn/SearchNamesApp
INFO   | jvm 1    | 2002/11/14 11:43:52 | Exception in thread "main" 
ERROR  | wrapper  | 2002/11/14 11:43:52 | JVM exited while loading the application.
STATUS | wrapper  | 2002/11/14 11:43:59 | Launching a JVM...
INFO   | jvm 2    | 2002/11/14 11:43:59 | java.lang.NoClassDefFoundError: nie/sn/SearchNamesApp
INFO   | jvm 2    | 2002/11/14 11:43:59 | Exception in thread "main" 
ERROR  | wrapper  | 2002/11/14 11:44:00 | JVM exited while loading the application.
STATUS | wrapper  | 2002/11/14 11:44:06 | Launching a JVM...
STATUS | wrapper  | 2002/11/14 11:44:06 | CTRL-C trapped.  Shutting down.
INFO   | jvm 3    | 2002/11/14 11:44:06 | java.lang.NoClassDefFoundError: nie/sn/SearchNamesApp
INFO   | jvm 3    | 2002/11/14 11:44:06 | Exception in thread "main" 
ERROR  | wrapper  | 2002/11/14 11:44:06 | JVM exited unexpectedly while stopping the application.
STATUS | wrapper  | 2002/11/14 11:44:07 | <-- Wrapper Stopped
FATAL  | wrapper  | 2002/11/14 11:49:28 | unable to open config file. -c
STATUS | wrapper  | 2002/11/14 11:50:30 | --> Wrapper Started as Console
DEBUG  | wrapperp | 2002/11/14 11:50:31 | server listening on port 1777.
STATUS | wrapper  | 2002/11/14 11:50:32 | Launching a JVM...
DEBUG  | wrapper  | 2002/11/14 11:50:32 | command: "D:\apps\jdk13\bin\java.exe" nie.sn.SearchNamesApp -Xms16m -Xmx64m -Djava.library.path="D:\data\proj\SearchNames\sn098d\system\nt_service" -classpath ";D:\data\proj\SearchNames\sn098d\system\jar_files\crimson.jar;D:\data\proj\SearchNames\sn098d\system\jar_files\jdom.jar;D:\data\proj\SearchNames\sn098d\system\jar_files\msbase.jar;D:\data\proj\SearchNames\sn098d\system\jar_files\mssqlserver.jar;D:\data\proj\SearchNames\sn098d\system\jar_files\msutil.jar;D:\data\proj\SearchNames\sn098d\system\jar_files\mysql-connector-java-2.0.14-bin.jar;D:\data\proj\SearchNames\sn098d\system\jar_files\nie.jar;D:\data\proj\SearchNames\sn098d\system\jar_files\nts_wrapper.jar;D:\data\proj\SearchNames\sn098d\system\jar_files\postgres-pgjdbc2.jar;D:\data\proj\SearchNames\sn098d\system\jar_files\xalan.jar;D:\data\proj\SearchNames\sn098d\system\jar_files\xerces.jar;D:\data\proj\SearchNames\sn098d\system\jar_files\oracle-java-1213.zip" -Dwrapper.key="I2IMvVgKkhAxJWGu" -Dwrapper.port=1777 -Dwrapper.debug="TRUE" -Dwrapper.cpu.timeout="10" -Dwrapper.jvmid=1 com.silveregg.wrapper.WrapperSimpleApp D:\data\proj\SearchNames\aopa-config.xml
DEBUG  | wrapper  | 2002/11/14 11:50:32 | Java Virtual Machine started (PID=2244)
INFO   | jvm 1    | 2002/11/14 11:50:33 | java.lang.NoClassDefFoundError: nie/sn/SearchNamesApp
INFO   | jvm 1    | 2002/11/14 11:50:33 | Exception in thread "main" 
ERROR  | wrapper  | 2002/11/14 11:50:33 | JVM exited while loading the application.
DEBUG  | wrapper  | 2002/11/14 11:50:33 | JVM was only running for 1 seconds leading to a failed restart count of 1.
STATUS | wrapper  | 2002/11/14 11:50:39 | Launching a JVM...
DEBUG  | wrapper  | 2002/11/14 11:50:39 | command: "D:\apps\jdk13\bin\java.exe" nie.sn.SearchNamesApp -Xms16m -Xmx64m -Djava.library.path="D:\data\proj\SearchNames\sn098d\system\nt_service" -classpath ";D:\data\proj\SearchNames\sn098d\system\jar_files\crimson.jar;D:\data\proj\SearchNames\sn098d\system\jar_files\jdom.jar;D:\data\proj\SearchNames\sn098d\system\jar_files\msbase.jar;D:\data\proj\SearchNames\sn098d\system\jar_files\mssqlserver.jar;D:\data\proj\SearchNames\sn098d\system\jar_files\msutil.jar;D:\data\proj\SearchNames\sn098d\system\jar_files\mysql-connector-java-2.0.14-bin.jar;D:\data\proj\SearchNames\sn098d\system\jar_files\nie.jar;D:\data\proj\SearchNames\sn098d\system\jar_files\nts_wrapper.jar;D:\data\proj\SearchNames\sn098d\system\jar_files\postgres-pgjdbc2.jar;D:\data\proj\SearchNames\sn098d\system\jar_files\xalan.jar;D:\data\proj\SearchNames\sn098d\system\jar_files\xerces.jar;D:\data\proj\SearchNames\sn098d\system\jar_files\oracle-java-1213.zip" -Dwrapper.key="CRk72ZUV13Jup433" -Dwrapper.port=1777 -Dwrapper.debug="TRUE" -Dwrapper.cpu.timeout="10" -Dwrapper.jvmid=2 com.silveregg.wrapper.WrapperSimpleApp D:\data\proj\SearchNames\aopa-config.xml
DEBUG  | wrapper  | 2002/11/14 11:50:39 | Java Virtual Machine started (PID=1716)
INFO   | jvm 2    | 2002/11/14 11:50:40 | java.lang.NoClassDefFoundError: nie/sn/SearchNamesApp
INFO   | jvm 2    | 2002/11/14 11:50:40 | Exception in thread "main" 
ERROR  | wrapper  | 2002/11/14 11:50:40 | JVM exited while loading the application.
DEBUG  | wrapper  | 2002/11/14 11:50:40 | JVM was only running for 1 seconds leading to a failed restart count of 2.
STATUS | wrapper  | 2002/11/14 11:50:46 | Launching a JVM...
DEBUG  | wrapper  | 2002/11/14 11:50:46 | command: "D:\apps\jdk13\bin\java.exe" nie.sn.SearchNamesApp -Xms16m -Xmx64m -Djava.library.path="D:\data\proj\SearchNames\sn098d\system\nt_service" -classpath ";D:\data\proj\SearchNames\sn098d\system\jar_files\crimson.jar;D:\data\proj\SearchNames\sn098d\system\jar_files\jdom.jar;D:\data\proj\SearchNames\sn098d\system\jar_files\msbase.jar;D:\data\proj\SearchNames\sn098d\system\jar_files\mssqlserver.jar;D:\data\proj\SearchNames\sn098d\system\jar_files\msutil.jar;D:\data\proj\SearchNames\sn098d\system\jar_files\mysql-connector-java-2.0.14-bin.jar;D:\data\proj\SearchNames\sn098d\system\jar_files\nie.jar;D:\data\proj\SearchNames\sn098d\system\jar_files\nts_wrapper.jar;D:\data\proj\SearchNames\sn098d\system\jar_files\postgres-pgjdbc2.jar;D:\data\proj\SearchNames\sn098d\system\jar_files\xalan.jar;D:\data\proj\SearchNames\sn098d\system\jar_files\xerces.jar;D:\data\proj\SearchNames\sn098d\system\jar_files\oracle-java-1213.zip" -Dwrapper.key="EnpfOFQKasbXeT6w" -Dwrapper.port=1777 -Dwrapper.debug="TRUE" -Dwrapper.cpu.timeout="10" -Dwrapper.jvmid=3 com.silveregg.wrapper.WrapperSimpleApp D:\data\proj\SearchNames\aopa-config.xml
DEBUG  | wrapper  | 2002/11/14 11:50:46 | Java Virtual Machine started (PID=2308)
INFO   | jvm 3    | 2002/11/14 11:50:47 | java.lang.NoClassDefFoundError: nie/sn/SearchNamesApp
INFO   | jvm 3    | 2002/11/14 11:50:47 | Exception in thread "main" 
ERROR  | wrapper  | 2002/11/14 11:50:47 | JVM exited while loading the application.
DEBUG  | wrapper  | 2002/11/14 11:50:47 | JVM was only running for 1 seconds leading to a failed restart count of 3.
STATUS | wrapper  | 2002/11/14 11:55:27 | Launching a JVM...
DEBUG  | wrapper  | 2002/11/14 11:55:27 | command: "D:\apps\jdk13\bin\java.exe" nie.sn.SearchNamesApp -Xms16m -Xmx64m -Djava.library.path="D:\data\proj\SearchNames\sn098d\system\nt_service" -classpath ";D:\data\proj\SearchNames\sn098d\system\jar_files\crimson.jar;D:\data\proj\SearchNames\sn098d\system\jar_files\jdom.jar;D:\data\proj\SearchNames\sn098d\system\jar_files\msbase.jar;D:\data\proj\SearchNames\sn098d\system\jar_files\mssqlserver.jar;D:\data\proj\SearchNames\sn098d\system\jar_files\msutil.jar;D:\data\proj\SearchNames\sn098d\system\jar_files\mysql-connector-java-2.0.14-bin.jar;D:\data\proj\SearchNames\sn098d\system\jar_files\nie.jar;D:\data\proj\SearchNames\sn098d\system\jar_files\nts_wrapper.jar;D:\data\proj\SearchNames\sn098d\system\jar_files\postgres-pgjdbc2.jar;D:\data\proj\SearchNames\sn098d\system\jar_files\xalan.jar;D:\data\proj\SearchNames\sn098d\system\jar_files\xerces.jar;D:\data\proj\SearchNames\sn098d\system\jar_files\oracle-java-1213.zip" -Dwrapper.key="AAhmqhkGAeWdwDky" -Dwrapper.port=1777 -Dwrapper.debug="TRUE" -Dwrapper.cpu.timeout="10" -Dwrapper.jvmid=4 com.silveregg.wrapper.WrapperSimpleApp D:\data\proj\SearchNames\aopa-config.xml
DEBUG  | wrapper  | 2002/11/14 11:55:27 | Java Virtual Machine started (PID=2460)
INFO   | wrapper  | 2002/11/14 11:55:27 | Wrapper Process has not received any CPU time for 274 seconds.  Extending timeouts.
INFO   | jvm 4    | 2002/11/14 11:55:28 | java.lang.NoClassDefFoundError: nie/sn/SearchNamesApp
INFO   | jvm 4    | 2002/11/14 11:55:28 | Exception in thread "main" 
ERROR  | wrapper  | 2002/11/14 11:55:28 | JVM exited while loading the application.
DEBUG  | wrapper  | 2002/11/14 11:55:28 | JVM was only running for 275 seconds leading to a failed restart count of 4.
STATUS | wrapper  | 2002/11/14 11:55:28 | CTRL-C trapped.  Shutting down.
DEBUG  | wrapper  | 2002/11/14 11:55:28 | wrapperStopProcess(0) called.
STATUS | wrapper  | 2002/11/14 11:55:28 | CTRL-C trapped.  Shutting down.
DEBUG  | wrapper  | 2002/11/14 11:55:28 | wrapperStopProcess(0) called.  (IGNORED)
STATUS | wrapper  | 2002/11/14 11:55:29 | <-- Wrapper Stopped
STATUS | wrapper  | 2002/11/14 11:59:04 | --> Wrapper Started as Console
DEBUG  | wrapperp | 2002/11/14 11:59:04 | server listening on port 1777.
STATUS | wrapper  | 2002/11/14 11:59:05 | Launching a JVM...
DEBUG  | wrapper  | 2002/11/14 11:59:05 | command: "D:\apps\jdk13\bin\java.exe" -Xms16m -Xmx64m -Djava.library.path="D:\data\proj\SearchNames\sn098d\system\nt_service" -classpath ";D:\data\proj\SearchNames\sn098d\system\jar_files\crimson.jar;D:\data\proj\SearchNames\sn098d\system\jar_files\jdom.jar;D:\data\proj\SearchNames\sn098d\system\jar_files\msbase.jar;D:\data\proj\SearchNames\sn098d\system\jar_files\mssqlserver.jar;D:\data\proj\SearchNames\sn098d\system\jar_files\msutil.jar;D:\data\proj\SearchNames\sn098d\system\jar_files\mysql-connector-java-2.0.14-bin.jar;D:\data\proj\SearchNames\sn098d\system\jar_files\nie.jar;D:\data\proj\SearchNames\sn098d\system\jar_files\nts_wrapper.jar;D:\data\proj\SearchNames\sn098d\system\jar_files\postgres-pgjdbc2.jar;D:\data\proj\SearchNames\sn098d\system\jar_files\xalan.jar;D:\data\proj\SearchNames\sn098d\system\jar_files\xerces.jar;D:\data\proj\SearchNames\sn098d\system\jar_files\oracle-java-1213.zip" -Dwrapper.key="yvn3dhlyXqbta4Fo" -Dwrapper.port=1777 -Dwrapper.debug="TRUE" -Dwrapper.cpu.timeout="10" -Dwrapper.jvmid=1 com.silveregg.wrapper.WrapperSimpleApp nie.sn.SearchNamesApp D:\data\proj\SearchNames\aopa-config.xml
DEBUG  | wrapper  | 2002/11/14 11:59:05 | Java Virtual Machine started (PID=2308)
INFO   | jvm 1    | 2002/11/14 11:59:06 | Wrapper Manager: JVM #1
INFO   | jvm 1    | 2002/11/14 11:59:06 | Wrapper Manager: Registering shutdown hook
INFO   | jvm 1    | 2002/11/14 11:59:06 | Wrapper Manager: Using wrapper
INFO   | jvm 1    | 2002/11/14 11:59:06 | Calling native initialization method.
INFO   | jvm 1    | 2002/11/14 11:59:06 | Initializing WrapperManager native library.
INFO   | jvm 1    | 2002/11/14 11:59:06 | Java Executable: D:\apps\jdk13\bin\java.exe
INFO   | jvm 1    | 2002/11/14 11:59:06 | Java Version   : 1.3.1_02-b02 Java HotSpot(TM) Client VM
INFO   | jvm 1    | 2002/11/14 11:59:06 | Java VM Vendor : Sun Microsystems Inc.
INFO   | jvm 1    | 2002/11/14 11:59:06 | 
INFO   | jvm 1    | 2002/11/14 11:59:06 | Wrapper (Version 2.2.9)
INFO   | jvm 1    | 2002/11/14 11:59:06 | 
INFO   | jvm 1    | 2002/11/14 11:59:06 | Open socket to wrapper...
INFO   | jvm 1    | 2002/11/14 11:59:06 | Opened Socket
INFO   | jvm 1    | 2002/11/14 11:59:06 | Send a packet 110 : yvn3dhlyXqbta4Fo
INFO   | jvm 1    | 2002/11/14 11:59:06 | handleSocket(Socket[addr=127.0.0.1/127.0.0.1,port=1777,localport=3092])
DEBUG  | wrapperp | 2002/11/14 11:59:06 | accepted a socket from 127.0.0.1 on port 3092
DEBUG  | wrapperp | 2002/11/14 11:59:06 | read a packet 110 : yvn3dhlyXqbta4Fo
DEBUG  | wrapper  | 2002/11/14 11:59:06 | Got key from JVM: yvn3dhlyXqbta4Fo
DEBUG  | wrapperp | 2002/11/14 11:59:06 | sent 3 bytes
DEBUG  | wrapper  | 2002/11/14 11:59:06 | Start Application.
DEBUG  | wrapperp | 2002/11/14 11:59:06 | sent 7 bytes
STATUS | wrapper  | 2002/11/14 11:59:06 | CTRL-C trapped.  Shutting down.
DEBUG  | wrapper  | 2002/11/14 11:59:06 | wrapperStopProcess(0) called.
INFO   | jvm 1    | 2002/11/14 11:59:06 | Received a packet 112 : 1
INFO   | jvm 1    | 2002/11/14 11:59:06 | Wrapper Manager: LowLogLevel from Wrapper is 1
INFO   | jvm 1    | 2002/11/14 11:59:07 | Received a packet 100 : start
INFO   | jvm 1    | 2002/11/14 11:59:07 | calling listener.start()
INFO   | jvm 1    | 2002/11/14 11:59:07 | WrapperSimpleApp: start(args)
INFO   | jvm 1    | 2002/11/14 11:59:07 | WrapperSimpleApp: invoking main method
INFO   | jvm 1    | 2002/11/14 11:59:07 | Encountered an error running main: java.lang.IllegalAccessException
